YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1960,25.39,20.85,27.27,28.03,23.0
1961,24.97,20.05,27.65,27.58,22.1
1962,25.05,19.85,27.36,27.83,22.5
1963,25.24,20.38,27.06,27.87,23.2
1964,25.23,20.17,27.90,27.61,22.8
1965,25.23,20.64,26.77,27.88,23.2
1966,25.52,21.23,27.66,27.91,23.0
1967,25.17,20.63,26.96,27.80,22.9
1968,25.09,19.67,27.10,27.95,22.9
1969,25.58,20.50,27.95,28.00,23.4
1970,25.23,20.61,27.76,27.65,22.5
1971,24.83,20.13,26.96,27.31,22.5
1972,25.22,19.61,27.29,28.07,23.1
1973,25.37,20.86,27.98,27.80,22.5
1974,25.08,19.69,27.62,27.79,22.5
1975,24.84,19.80,27.42,27.33,22.3
1976,25.11,19.80,27.04,27.59,23.4
1977,25.29,20.17,27.37,27.74,23.3
1978,25.13,19.66,27.33,27.58,23.3
1979,25.62,20.47,27.36,28.29,23.7
1980,25.60,20.82,28.00,27.92,23.3
1981,25.29,20.50,27.39,27.96,22.8
1982,25.25,20.41,26.81,28.07,23.2
1983,25.12,20.09,26.93,28.12,22.7
1984,25.22,19.94,27.86,27.65,22.9
1985,25.40,20.62,28.01,27.71,22.9
1986,25.23,20.26,27.35,27.82,23.0
1987,25.65,20.73,27.29,28.55,23.4
1988,25.55,21.15,27.72,27.92,23.1
1989,25.15,20.08,27.28,27.66,23.1
1990,25.26,20.87,26.90,27.78,23.2
1991,25.39,20.60,27.52,28.04,22.9
1992,25.25,20.10,27.21,27.98,23.1
1993,25.46,20.64,27.34,28.08,23.3
1994,25.39,20.80,27.60,27.84,23.0
1995,25.46,20.42,27.44,28.18,23.2
1996,25.42,20.77,27.67,27.91,22.9
1997,25.35,20.20,27.23,28.13,23.2
1998,25.72,20.83,27.82,28.31,23.4
1999,25.57,20.81,27.81,27.92,23.4
2000,25.53,20.53,27.63,27.85,23.7
2001,25.60,20.78,27.73,27.92,23.6
2002,25.74,20.74,28.02,28.17,23.6
2003,25.61,20.71,27.83,28.10,23.3
2004,25.65,20.76,28.10,28.02,23.3
2005,25.58,20.80,27.70,28.25,23.1
2006,25.72,21.39,27.69,28.02,23.6
2007,25.67,20.92,27.84,28.11,23.4
2008,25.55,20.26,27.70,27.85,23.9
2009,26.05,21.59,28.12,28.55,23.6
2010,26.03,21.09,28.89,28.20,23.6
2011,25.62,20.52,27.67,28.06,23.7
2012,25.60,20.36,27.82,28.26,23.3
2013,25.68,20.93,28.04,28.03,23.4
2014,25.73,20.53,27.62,28.57,23.5
2015,25.92,21.05,27.63,28.46,24.1
2016,26.20,21.80,28.64,28.35,23.8
2017,26.04,21.37,28.20,28.39,23.8
2018,25.90,21.24,28.16,28.28,23.6
2019,25.86,20.71,28.00,28.60,23.5
2020,25.78,20.79,27.58,28.45,23.8
2021,25.93,21.43,27.97,28.36,23.7
